Date,AQI,Sample_Duration,Pollutant_Type
1988-11-29,19,24 HOUR,81102
1988-12-02,58,24 HOUR,81102
1988-12-03,58,24 HOUR,81102
1988-12-05,63,24 HOUR,81102
1988-12-07,11,24 HOUR,81102
1988-12-09,53,24 HOUR,81102
1988-12-11,49,24 HOUR,81102
1988-12-13,16,24 HOUR,81102
1988-12-15,16,24 HOUR,81102
1988-12-17,56,24 HOUR,81102
1988-12-19,22,24 HOUR,81102
1988-12-21,49,24 HOUR,81102
1988-12-23,30,24 HOUR,81102
1988-12-25,18,24 HOUR,81102
1988-12-29,60,24 HOUR,81102
1988-12-31,52,24 HOUR,81102
1989-12-12,13,24 HOUR,81102
1989-12-18,23,24 HOUR,81102
1989-12-24,18,24 HOUR,81102
1989-12-30,18,24 HOUR,81102
1989-01-04,61,24 HOUR,81102
1989-01-06,36,24 HOUR,81102
1989-01-08,11,24 HOUR,81102
1989-01-10,35,24 HOUR,81102
1989-01-12,40,24 HOUR,81102
1989-01-14,30,24 HOUR,81102
1989-01-16,47,24 HOUR,81102
1989-01-18,48,24 HOUR,81102
1989-01-20,52,24 HOUR,81102
1989-01-24,29,24 HOUR,81102
1989-01-26,70,24 HOUR,81102
1989-01-28,14,24 HOUR,81102
1989-01-30,67,24 HOUR,81102
1989-02-01,31,24 HOUR,81102
1989-02-05,23,24 HOUR,81102
1989-02-07,41,24 HOUR,81102
1989-02-09,66,24 HOUR,81102
1989-02-11,36,24 HOUR,81102
1989-02-13,35,24 HOUR,81102
1989-02-15,59,24 HOUR,81102
1989-02-17,33,24 HOUR,81102
1989-02-19,72,24 HOUR,81102
1989-02-23,58,24 HOUR,81102
1989-02-25,59,24 HOUR,81102
1989-03-05,54,24 HOUR,81102
1989-02-27,18,24 HOUR,81102
1989-03-01,40,24 HOUR,81102
1989-03-03,26,24 HOUR,81102
1989-03-07,80,24 HOUR,81102
1989-03-09,82,24 HOUR,81102
1989-03-11,61,24 HOUR,81102
1989-03-13,44,24 HOUR,81102
1989-03-15,13,24 HOUR,81102
1989-03-17,38,24 HOUR,81102
1989-03-19,40,24 HOUR,81102
1989-03-21,35,24 HOUR,81102
1989-03-23,22,24 HOUR,81102
1989-03-25,22,24 HOUR,81102
1989-03-27,19,24 HOUR,81102
1989-03-29,15,24 HOUR,81102
1989-03-31,24,24 HOUR,81102
1989-04-02,14,24 HOUR,81102
1989-04-04,16,24 HOUR,81102
1989-04-06,16,24 HOUR,81102
1989-04-10,31,24 HOUR,81102
1989-04-12,34,24 HOUR,81102
1989-04-16,22,24 HOUR,81102
1989-04-19,37,24 HOUR,81102
1989-04-20,35,24 HOUR,81102
1989-04-21,47,24 HOUR,81102
1989-04-22,31,24 HOUR,81102
1989-04-25,31,24 HOUR,81102
1989-04-27,13,24 HOUR,81102
1989-04-28,13,24 HOUR,81102
1989-04-30,13,24 HOUR,81102
1989-05-03,17,24 HOUR,81102
1989-05-04,19,24 HOUR,81102
1989-05-06,32,24 HOUR,81102
1989-05-07,26,24 HOUR,81102
1989-05-09,20,24 HOUR,81102
1989-05-10,22,24 HOUR,81102
1989-05-11,28,24 HOUR,81102
1989-05-12,26,24 HOUR,81102
