Date,AQI,Sample_Duration,Pollutant_Type
1977-10-22,18,8-HR RUN AVG BEGIN HOUR,44201
1977-10-23,13,8-HR RUN AVG BEGIN HOUR,44201
1977-10-23,13,8-HR RUN AVG BEGIN HOUR,44201
1977-10-23,13,8-HR RUN AVG BEGIN HOUR,44201
1977-10-24,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-24,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-24,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-25,18,8-HR RUN AVG BEGIN HOUR,44201
1977-10-25,18,8-HR RUN AVG BEGIN HOUR,44201
1977-10-25,17,8-HR RUN AVG BEGIN HOUR,44201
1977-10-26,16,8-HR RUN AVG BEGIN HOUR,44201
1977-10-26,16,8-HR RUN AVG BEGIN HOUR,44201
1977-10-26,16,8-HR RUN AVG BEGIN HOUR,44201
1977-10-27,22,8-HR RUN AVG BEGIN HOUR,44201
1977-10-27,22,8-HR RUN AVG BEGIN HOUR,44201
1977-10-27,22,8-HR RUN AVG BEGIN HOUR,44201
1977-10-28,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-28,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-28,15,8-HR RUN AVG BEGIN HOUR,44201
1977-10-29,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-29,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-29,7,8-HR RUN AVG BEGIN HOUR,44201
1977-10-30,14,8-HR RUN AVG BEGIN HOUR,44201
1977-10-30,14,8-HR RUN AVG BEGIN HOUR,44201
1977-10-30,14,8-HR RUN AVG BEGIN HOUR,44201
1977-11-30,25,8-HR RUN AVG BEGIN HOUR,44201
1977-11-30,25,8-HR RUN AVG BEGIN HOUR,44201
1977-11-30,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-01,26,8-HR RUN AVG BEGIN HOUR,44201
1977-12-01,26,8-HR RUN AVG BEGIN HOUR,44201
1977-12-01,26,8-HR RUN AVG BEGIN HOUR,44201
1977-12-02,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-02,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-02,24,8-HR RUN AVG BEGIN HOUR,44201
1977-12-03,28,8-HR RUN AVG BEGIN HOUR,44201
1977-12-03,28,8-HR RUN AVG BEGIN HOUR,44201
1977-12-03,28,8-HR RUN AVG BEGIN HOUR,44201
1977-12-04,27,8-HR RUN AVG BEGIN HOUR,44201
1977-12-04,27,8-HR RUN AVG BEGIN HOUR,44201
1977-12-04,27,8-HR RUN AVG BEGIN HOUR,44201
1977-12-05,14,8-HR RUN AVG BEGIN HOUR,44201
1977-12-05,14,8-HR RUN AVG BEGIN HOUR,44201
1977-12-05,10,8-HR RUN AVG BEGIN HOUR,44201
1977-12-06,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-06,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-06,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-07,29,8-HR RUN AVG BEGIN HOUR,44201
1977-12-07,29,8-HR RUN AVG BEGIN HOUR,44201
1977-12-07,29,8-HR RUN AVG BEGIN HOUR,44201
1977-12-08,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-08,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-08,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-09,2,8-HR RUN AVG BEGIN HOUR,44201
1977-12-09,2,8-HR RUN AVG BEGIN HOUR,44201
1977-12-09,2,8-HR RUN AVG BEGIN HOUR,44201
1977-12-10,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-10,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-10,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-11,23,8-HR RUN AVG BEGIN HOUR,44201
1977-12-11,23,8-HR RUN AVG BEGIN HOUR,44201
1977-12-11,23,8-HR RUN AVG BEGIN HOUR,44201
1977-12-12,22,8-HR RUN AVG BEGIN HOUR,44201
1977-12-12,22,8-HR RUN AVG BEGIN HOUR,44201
1977-12-12,22,8-HR RUN AVG BEGIN HOUR,44201
1977-12-13,17,8-HR RUN AVG BEGIN HOUR,44201
1977-12-13,17,8-HR RUN AVG BEGIN HOUR,44201
1977-12-13,15,8-HR RUN AVG BEGIN HOUR,44201
1977-12-14,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-14,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-14,21,8-HR RUN AVG BEGIN HOUR,44201
1977-12-15,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-15,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-15,25,8-HR RUN AVG BEGIN HOUR,44201
1977-12-16,28,8-HR RUN AVG BEGIN HOUR,44201
1977-12-16,28,8-HR RUN AVG BEGIN HOUR,44201
1977-12-16,28,8-HR RUN AVG BEGIN HOUR,44201
1978-01-20,95,8-HR RUN AVG END HOUR,42101
1978-01-21,79,8-HR RUN AVG END HOUR,42101
1978-01-22,57,8-HR RUN AVG END HOUR,42101
1978-01-23,59,8-HR RUN AVG END HOUR,42101
1978-01-24,45,8-HR RUN AVG END HOUR,42101
1978-01-25,31,8-HR RUN AVG END HOUR,42101
1978-01-26,69,8-HR RUN AVG END HOUR,42101
1978-01-27,58,8-HR RUN AVG END HOUR,42101
1978-01-28,47,8-HR RUN AVG END HOUR,42101
1978-01-29,41,8-HR RUN AVG END HOUR,42101
1978-01-30,39,8-HR RUN AVG END HOUR,42101
1978-01-31,66,8-HR RUN AVG END HOUR,42101
1978-02-01,55,8-HR RUN AVG END HOUR,42101
1978-02-02,58,8-HR RUN AVG END HOUR,42101
1978-02-03,57,8-HR RUN AVG END HOUR,42101
1978-02-04,40,8-HR RUN AVG END HOUR,42101
1978-02-14,28,8-HR RUN AVG END HOUR,42101
1978-02-15,27,8-HR RUN AVG END HOUR,42101
1978-02-16,25,8-HR RUN AVG END HOUR,42101
1978-02-17,34,8-HR RUN AVG END HOUR,42101
1978-02-18,19,8-HR RUN AVG END HOUR,42101
1978-02-19,18,8-HR RUN AVG END HOUR,42101
1978-02-20,19,8-HR RUN AVG END HOUR,42101
1978-02-21,14,8-HR RUN AVG END HOUR,42101
1978-02-22,20,8-HR RUN AVG END HOUR,42101
1978-02-23,42,8-HR RUN AVG END HOUR,42101
1978-02-24,33,8-HR RUN AVG END HOUR,42101
1978-02-25,13,8-HR RUN AVG END HOUR,42101
1978-02-26,8,8-HR RUN AVG END HOUR,42101
1978-02-27,22,8-HR RUN AVG END HOUR,42101
1978-02-28,18,8-HR RUN AVG END HOUR,42101
1978-03-01,25,8-HR RUN AVG END HOUR,42101
1978-03-02,22,8-HR RUN AVG END HOUR,42101
1978-03-03,17,8-HR RUN AVG END HOUR,42101
1978-03-04,61,8-HR RUN AVG END HOUR,42101
1978-03-05,42,8-HR RUN AVG END HOUR,42101
1978-03-06,15,8-HR RUN AVG END HOUR,42101
1978-03-07,15,8-HR RUN AVG END HOUR,42101
1978-03-08,26,8-HR RUN AVG END HOUR,42101
1978-03-09,38,8-HR RUN AVG END HOUR,42101
1978-03-10,18,8-HR RUN AVG END HOUR,42101
1978-03-11,13,8-HR RUN AVG END HOUR,42101
1978-03-12,9,8-HR RUN AVG END HOUR,42101
1978-03-13,10,8-HR RUN AVG END HOUR,42101
1978-03-14,10,8-HR RUN AVG END HOUR,42101
1978-03-15,10,8-HR RUN AVG END HOUR,42101
1978-03-16,10,8-HR RUN AVG END HOUR,42101
1978-03-17,13,8-HR RUN AVG END HOUR,42101
1978-03-18,3,8-HR RUN AVG END HOUR,42101
1978-03-19,7,8-HR RUN AVG END HOUR,42101
1978-03-20,7,8-HR RUN AVG END HOUR,42101
1978-03-21,14,8-HR RUN AVG END HOUR,42101
1978-03-22,8,8-HR RUN AVG END HOUR,42101
1978-03-23,10,8-HR RUN AVG END HOUR,42101
1978-03-24,14,8-HR RUN AVG END HOUR,42101
1978-03-25,10,8-HR RUN AVG END HOUR,42101
1978-03-26,2,8-HR RUN AVG END HOUR,42101
1978-03-27,11,8-HR RUN AVG END HOUR,42101
1978-03-28,10,8-HR RUN AVG END HOUR,42101
1978-03-29,11,8-HR RUN AVG END HOUR,42101
1978-03-30,9,8-HR RUN AVG END HOUR,42101
1978-03-31,6,8-HR RUN AVG END HOUR,42101
1978-04-01,6,8-HR RUN AVG END HOUR,42101
1978-04-02,7,8-HR RUN AVG END HOUR,42101
1978-04-03,10,8-HR RUN AVG END HOUR,42101
1978-04-04,7,8-HR RUN AVG END HOUR,42101
1978-04-05,8,8-HR RUN AVG END HOUR,42101
1978-04-06,11,8-HR RUN AVG END HOUR,42101
1978-04-07,25,8-HR RUN AVG END HOUR,42101
1978-04-08,26,8-HR RUN AVG END HOUR,42101
